Text,Emotion,FraudProbability,Label
That’s unbearable,disgust,0.38881198819530793,0
I can’t shake this sadness,sadness,0.28189021846893836,0
Today is a gloomy day,sadness,0.2779041292200138,0
This is fantastic,happy,0.20105152848065266,0
I’ve lost my motivation,sadness,0.1919121865976485,0
Why does this always happen to me?,sadness,0.19748301928218523,0
This is outrageous,angry,0.4387450987306398,0
How dare they?,angry,0.7950369682396903,1
This is fantastic,happy,0.057195393582376554,0
This disgusts me,disgust,0.4257593162880827,0
I’m quaking,fear,0.5370525039075749,1
I’m nervous about this,fear,0.6597720466912608,1
This fills me with dread,fear,0.612221916522268,1
It’s hard to keep going,sadness,0.19845643379075467,0
I want to disappear,sadness,0.18997461498940882,0
I’m drained emotionally,sadness,0.3447439821046639,0
I feel amazing today,happy,0.0,0
This makes me nervous,fear,0.5838244613602479,1
It’s hard to keep going,sadness,0.22705495461680436,0
I’m feeling blessed,happy,0.13893489132561232,0
This is outrageous,angry,0.977831304155244,1
I’m stuck in this sadness,sadness,0.3693639724282317,0
It’s modest,neutral,0.22186383160538625,0
Nothing special happened,neutral,0.2881761038948611,0
My energy is gone,sadness,0.14909146571348925,0
I’ve had enough,angry,0.5416705786463112,1
This is exciting,happy,0.0,0
I feel helpless,fear,0.5119408733952893,1
I can’t stop thinking about my failures,sadness,0.3082122794713039,0
This is magical,happy,0.18877484595933575,0
This is perfect,happy,0.07928341098954259,0
I feel abandoned,sadness,0.187652260501504,0
It’s unremarkable,neutral,0.04918467104525173,0
I want to disappear,sadness,0.35996469757848204,0
This is disrespectful,angry,0.81797163447007,1
I’m so excited!,happy,0.010179206054432177,0
I’m unbothered,neutral,0.0962170123484518,0
This is delightful,happy,0.09241962549718147,0
I feel fulfilled,happy,0.2495434252883474,0
This is too much for me,fear,0.633818125199332,1
I feel threatened,fear,0.5601361609984798,1
I’ve lost my motivation,sadness,0.24391359125252537,0
I’m heartbroken,sadness,0.10812495414085971,0
This is overwhelming,fear,0.7042491617339421,1
I’m unbothered,neutral,0.1465583546326495,0
This is amazing,happy,0.0,0
This is unacceptable,angry,0.6787838578288373,1
It’s hard to keep going,sadness,0.20731312059602772,0
I feel normal,neutral,0.25014483315248054,0
I feel neutral,neutral,0.3158186652932028,0
I’m truly happy,happy,0.23718621335497767,0
It’s typical,neutral,0.21755532939548328,0
I’m seething,angry,0.6743369817307445,1
That’s filthy,disgust,0.46321742758672385,0
I feel amazing today,happy,0.0,0
I hate this,angry,0.7345517943888766,1
Every day feels grey,sadness,0.29529363265335096,0
I feel outraged,angry,0.6833939091648934,1
I’m uneasy,fear,0.5056943191532737,1
I feel normal,neutral,0.3403958738659294,0
Nothing much going on,neutral,0.19814491954883598,0
I want to yell,angry,0.5326495378009777,1
I’m ready to fight,angry,0.7102347682549667,1
I’m on edge,fear,0.5567390719451987,1
My mind feels heavy,sadness,0.2977754099433527,0
This makes my blood boil,angry,0.674097135526111,1
I feel misunderstood,sadness,0.2839820964186644,0
I’ve had enough,angry,0.6992619850055427,1
This is exciting,happy,0.022466389404305592,0
This made my day,happy,0.1773140855889249,0
I can’t stand this,disgust,0.6405205305878188,1
This is too scary,fear,0.7392325753491903,1
I feel abandoned,sadness,0.20065675177966733,0
I feel like I’m fading,sadness,0.3423162608341953,0
It’s hard to get out of bed,sadness,0.4206604953678462,0
It’s hard to keep going,sadness,0.3373589415635379,0
I’m frozen in fear,fear,0.6649086732629106,1
Tears keep falling,sadness,0.12771264633246932,0
I feel upbeat,happy,0.16205482159617352,0
I’ve lost my motivation,sadness,0.23390626231369366,0
I feel so irritated,angry,0.6643254974231806,1
I’m delighted,happy,0.15561217985339654,0
This is a dream come true,happy,0.23638865244171053,0
This infuriates me,angry,0.9539162716269332,1
I feel like crying,sadness,0.1059958552316202,0
I’m furious at this,angry,0.819072725611364,1
I’m feeling blessed,happy,0.16176408455111452,0
I feel fragile,sadness,0.37170707969801103,0
I’ve lost my motivation,sadness,0.2726288269498875,0
I can’t stop thinking about my failures,sadness,0.3347401432576639,0
I feel like giving up,sadness,0.26748330119914715,0
I’m so inspired,happy,0.0,0
This made my day,happy,0.17345010648800457,0
I’m seething,angry,0.604550273803858,1
I’m burning with anger,angry,0.7769977359930793,1
This is delightful,happy,0.2268389522403902,0
This is magical,happy,0.013235891002062544,0
That’s sickening,disgust,0.514586185242831,1
I can’t stand this anymore,angry,0.7878673548190895,1
This is delightful,happy,0.07604054918061905,0
I’m optimistic,happy,0.3734422159061742,0
This keeps me up at night,fear,0.6093765430151946,1
I’ve lost my motivation,sadness,0.15369843739338734,0
I don’t enjoy life anymore,sadness,0.3477180000813073,0
I feel fulfilled,happy,0.08758676111183404,0
It’s manageable,neutral,0.27403408179477384,0
Just another day,neutral,0.1547537767655331,0
I find this unacceptable,disgust,0.5777049794903608,1
I’m fine with this,neutral,0.10739533807885221,0
This makes me anxious,fear,0.5487034682364378,1
It’s tolerable,neutral,0.2630074938601008,0
Nothing seems to go right,sadness,0.4262937472303229,0
I feel cheerful,happy,0.20574235088623763,0
I feel amazing today,happy,0.10513608594796355,0
I’m so content,happy,0.004099190357322119,0
I feel disrespected,angry,0.8382004604171943,1
I’m full of joy,happy,0.13044491198708527,0
Things are fine,neutral,0.2257207490980107,0
This is overwhelming,fear,0.7437356328333526,1
